140101000,BANGUED (Capital)
140102000,BOLINEY
140103000,BUCAY
140104000,BUCLOC
140105000,DAGUIOMAN
140106000,DANGLAS
140107000,DOLORES
140108000,LA PAZ
140109000,LACUB
140110000,LAGANGILANG
140111000,LAGAYAN
140112000,LANGIDEN
140113000,LICUAN-BAAY (LICUAN)
140114000,LUBA
140115000,MALIBCONG
140116000,MANABO
140117000,PEÃ‘ARRUBIA
140118000,PIDIGAN
140119000,PILAR
140120000,SALLAPADAN
140121000,SAN ISIDRO
140122000,SAN JUAN
140123000,SAN QUINTIN
140124000,TAYUM
140125000,TINEG
140126000,TUBO
140127000,VILLAVICIOSA
141101000,ATOK
141102000,BAGUIO CITY
141103000,BAKUN
141104000,BOKOD
141105000,BUGUIAS
141106000,ITOGON
141107000,KABAYAN
141108000,KAPANGAN
141109000,KIBUNGAN
141110000,LA TRINIDAD (Capital)
141111000,MANKAYAN
141112000,SABLAN
141113000,TUBA
141114000,TUBLAY
142701000,BANAUE
142702000,HUNGDUAN
142703000,KIANGAN
142704000,LAGAWE (Capital)
142705000,LAMUT
142706000,MAYOYAO
142707000,ALFONSO LISTA (POTIA)
142708000,AGUINALDO
142709000,HINGYON
142710000,TINOC
142711000,ASIPULO
143201000,BALBALAN
143206000,LUBUAGAN
143208000,PASIL
143209000,PINUKPUK
143211000,RIZAL (LIWAN)
143213000,CITY OF TABUK (Capital)
143214000,TANUDAN
143215000,TINGLAYAN
144401000,BARLIG
144402000,BAUKO
144403000,BESAO
144404000,BONTOC (Capital)
144405000,NATONIN
144406000,PARACELIS
144407000,SABANGAN
144408000,SADANGA
144409000,SAGADA
144410000,TADIAN
148101000,CALANASAN (BAYAG)
148102000,CONNER
148103000,FLORA
148104000,KABUGAO (Capital)
148105000,LUNA
148106000,PUDTOL
148107000,SANTA MARCELA
PROVINCE,
P1401,ABRA
P1411,BENGUET
P1427,IFUGAO
P1432,KALINGA
P1444,MOUNTAIN PROVINCE
P1481,APAYAO
